"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","verb_id","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","error"
"12240",4428,"Experiment Group",NA,29,"","","long",0.26,"编辑想知道法务顾问认为杂技演员为什么抚养了小女孩。",13,129132,28,"认为","adj",NA,NA
"12243",4428,"Experiment Group",NA,32,"","","long",0.6,"助手想知道军官说老师出卖了谁。",1,232012,31,"说","arg",NA,NA
"12246",4428,"Experiment Group",NA,14,"","","short",0.43,"英语老师想知道工程师为什么希望中学生举报了店员。",3,114031,34,"希望","adj",NA,NA
"12247",4428,"Experiment Group",NA,22,"","","long",0.6,"顾问想知道外交官感觉生物学家为什么嘲讽了哲学家。",12,122122,35,"感觉","adj",NA,NA
"12249",4428,"Experiment Group",NA,10,"","","long",0.49,"导游想知道外国人说明保安为什么袭击了商贩。",4,110042,37,"说明","adj",NA,NA
"12250",4428,"Experiment Group",NA,4,"","","short",0.06,"教授想知道工程师为什么假装秘书批评了运动员。",10,104101,38,"假装","adj",NA,NA
"12252",4428,"Experiment Group",NA,28,"","","long",0.64,"丞相想知道皇上想将军威胁了谁。",5,228052,40,"想","arg",NA,NA
"12255",4428,"Experiment Group",NA,19,"","","long",0.41,"经理想知道道士假装和尚夸奖了谁。",10,219102,43,"假装","arg",NA,NA
"12256",4428,"Experiment Group",NA,12,"","","short",0.85,"包工头想知道谁说播音员打伤了算命先生。",1,212011,44,"说","arg",NA,NA
"12260",4428,"Experiment Group",NA,26,"","","short",0.45,"制片人想知道健身教练为什么认为化妆师监视了调酒师。",13,126131,48,"认为","adj",NA,NA
"12261",4428,"Experiment Group",NA,9,"","","short",0.95,"将军想知道谁想士兵跟踪了总统。",5,209051,49,"想","arg",NA,NA
"12263",4428,"Experiment Group",NA,6,"","","short",0.59,"检察官想知道谁希望音乐家开除了保镖。",3,206031,51,"希望","arg",NA,NA
"12264",4428,"Experiment Group",NA,23,"","","long",0.45,"园丁想知道水管工说明焊工训斥了谁。",4,223042,52,"说明","arg",NA,NA
"12266",4428,"Experiment Group",NA,8,"","","long",0.2,"侦探想知道售货员假装飞行员为什么羞辱了卡车司机。",10,108102,54,"假装","adj",NA,NA
"12267",4428,"Experiment Group",NA,30,"","","long",0.75,"舞蹈老师想知道实习生喜欢歌手为什么赞美了剧作家。",7,130072,55,"喜欢","adj",NA,NA
"12269",4428,"Experiment Group",NA,16,"","","long",0.55,"大学生想知道记者希望音乐老师为什么夸赞了歌手。",3,116032,57,"希望","adj",NA,NA
"12270",4428,"Experiment Group",NA,17,"","","short",0.89,"会计想知道演员为什么想编辑邀请了神父。",5,117051,58,"想","adj",NA,NA
"12272",4428,"Experiment Group",NA,7,"","","short",0.96,"村长想知道农民为什么说明电工无视了领导。",4,107041,60,"说明","adj",NA,NA
"12274",4428,"Experiment Group",NA,5,"","","long",0.92,"市长想知道议员认为艺术家联系了谁。",13,205132,62,"认为","arg",NA,NA
"12275",4428,"Experiment Group",NA,3,"","","short",0.16,"经理想知道厨师为什么说服务员接待了乞丐。",1,103011,63,"说","adj",NA,NA
"12282",4631,"Experiment Group",NA,26,"","","long",0.24,"制片人想知道健身教练猜化妆师监视了谁。",9,226092,4,"猜","arg",NA,NA
"12284",4631,"Experiment Group",NA,25,"","","long",0.46,"美容师想知道房东害怕营养师为什么吓唬了快餐店员。",11,125112,6,"害怕","adj",NA,NA
"12285",4631,"Experiment Group",NA,8,"","","short",0.21,"侦探想知道谁想飞行员羞辱了卡车司机。",5,208051,7,"想","arg",NA,NA
"12287",4631,"Experiment Group",NA,10,"","","long",0.27,"导游想知道外国人害怕保安袭击了谁。",11,210112,9,"害怕","arg",NA,NA
"12289",4631,"Experiment Group",NA,32,"","","long",0.29,"助手想知道军官写下来老师出卖了谁。",14,232142,11,"写","arg",NA,NA
"12290",4631,"Experiment Group",NA,27,"","","short",0.37,"法医想知道业务员为什么写下来罪犯谋害了程序员。",14,127141,12,"写","adj",NA,NA
"12292",4631,"Experiment Group",NA,7,"","","long",0.38,"村长想知道农民猜电工为什么无视了领导。",9,107092,14,"猜","adj",NA,NA
"12295",4631,"Experiment Group",NA,16,"","","short",0.32,"大学生想知道谁害怕音乐老师夸赞了歌手。",11,216111,17,"害怕","arg",NA,NA
"12296",4631,"Experiment Group",NA,17,"","","short",0.15,"会计想知道演员为什么害怕编辑邀请了神父。",11,117111,18,"害怕","adj",NA,NA
"12298",4631,"Experiment Group",NA,14,"","","long",0.26,"英语老师想知道工程师写下来中学生为什么举报了店员。",14,114142,20,"写","adj",NA,NA
"12299",4631,"Experiment Group",NA,28,"","","short",0.47,"丞相想知道谁说将军威胁了大臣。",1,228011,21,"说","arg",NA,NA
"12301",4631,"Experiment Group",NA,15,"","","long",0.64,"主持人想知道学者说明政府官员为什么批评了总统候选人。",4,115042,23,"说明","adj",NA,NA
"12302",4631,"Experiment Group",NA,20,"","","long",0.31,"售货员想知道作曲家想摄影师指责了谁。",5,220052,24,"想","arg",NA,NA
"12304",4631,"Experiment Group",NA,22,"","","long",0.37,"顾问想知道外交官感觉生物学家为什么嘲讽了哲学家。",12,122122,26,"感觉","adj",NA,NA
"12305",4631,"Experiment Group",NA,12,"","","long",0.51,"包工头想知道和尚说播音员打伤了谁。",1,212012,27,"说","arg",NA,NA
"12308",4631,"Experiment Group",NA,1,"","","short",0.79,"老师想知道学生为什么说修理工打了快递员。",1,101011,30,"说","adj",NA,NA
"12309",4631,"Experiment Group",NA,30,"","","short",0.47,"舞蹈老师想知道谁写下来歌手赞美了剧作家。",14,230141,31,"写","arg",NA,NA
"12313",4631,"Experiment Group",NA,5,"","","short",0.31,"市长想知道议员为什么猜艺术家联系了毒枭。",9,105091,35,"猜","adj",NA,NA
"12315",4631,"Experiment Group",NA,31,"","","long",0.32,"心理学家想知道大学生喜欢保姆讨好了谁。",7,231072,37,"喜欢","arg",NA,NA
"12316",4631,"Experiment Group",NA,11,"","","short",0.26,"政客想知道医生为什么喜欢护士推倒了男孩。",7,111071,38,"喜欢","adj",NA,NA
"12320",4631,"Experiment Group",NA,3,"","","long",0.34,"经理想知道厨师想服务员为什么接待了乞丐。",5,103052,42,"想","adj",NA,NA
"12321",4631,"Experiment Group",NA,24,"","","long",0.28,"仓库管理员想知道采购员感觉保险代理人挖苦了谁。",12,224122,43,"感觉","arg",NA,NA
"12324",4631,"Experiment Group",NA,4,"","","long",0.31,"教授想知道工程师说秘书为什么批评了运动员。",1,104012,46,"说","adj",NA,NA
"12325",4631,"Experiment Group",NA,21,"","","short",0.22,"省长想知道药剂师为什么感觉小报记者采访了税务员。",12,121121,47,"感觉","adj",NA,NA
"12327",4631,"Experiment Group",NA,19,"","","short",0.21,"经理想知道谁猜和尚夸奖了乞丐。",9,219091,49,"猜","arg",NA,NA
"12328",4631,"Experiment Group",NA,29,"","","short",0.39,"编辑想知道法务顾问为什么说明杂技演员抚养了小女孩。",4,129041,50,"说明","adj",NA,NA
"12330",4631,"Experiment Group",NA,18,"","","short",0.38,"船长想知道谁喜欢飞行员责备了经济学家。",7,218071,52,"喜欢","arg",NA,NA
"12334",4631,"Experiment Group",NA,6,"","","short",0.36,"检察官想知道谁说明音乐家开除了保镖。",4,206041,56,"说明","arg",NA,NA
"12337",4631,"Experiment Group",NA,23,"","","long",0.65,"园丁想知道水管工说明焊工训斥了谁。",4,223042,59,"说明","arg",NA,NA
"12339",4631,"Experiment Group",NA,9,"","","long",0.27,"将军想知道间谍喜欢士兵为什么跟踪了总统。",7,109072,61,"喜欢","adj",NA,NA
"12341",4631,"Experiment Group",NA,2,"","","short",0.33,"法官想知道律师为什么想警察审问了学生。",5,102051,63,"想","adj",NA,NA
"12342",4631,"Experiment Group",NA,13,"","","short",0.26,"服务员想知道谁感觉演说家欺骗了建筑工人。",12,213121,64,"感觉","arg",NA,NA
"12346",4532,"Experiment Group",NA,13,"","","long",0.75,"服务员想知道售票员说明演说家为什么欺骗了建筑工人。",4,113042,2,"说明","adj",NA,NA
"12348",4532,"Experiment Group",NA,30,"","","short",0.05,"舞蹈老师想知道实习生为什么怕歌手赞美了剧作家。",6,130061,4,"怕","adj",NA,NA
"12349",4532,"Experiment Group",NA,17,"","","long",0.26,"会计想知道演员怕编辑为什么邀请了神父。",6,117062,5,"怕","adj",NA,NA
"12351",4532,"Experiment Group",NA,6,"","","short",0.87,"检察官想知道教练员为什么说明音乐家开除了保镖。",4,106041,7,"说明","adj",NA,NA
"12352",4532,"Experiment Group",NA,7,"","","short",0.78,"村长想知道谁觉得电工无视了领导。",2,207021,8,"觉得","arg",NA,NA
"12358",4532,"Experiment Group",NA,18,"","","short",0.13,"船长想知道建筑师为什么说飞行员责备了经济学家。",1,118011,14,"说","adj",NA,NA
"12360",4532,"Experiment Group",NA,23,"","","long",0.9,"园丁想知道水管工写下来焊工为什么训斥了清洁工。",14,123142,16,"写","adj",NA,NA
"12361",4532,"Experiment Group",NA,9,"","","short",0.06,"将军想知道间谍为什么感觉士兵跟踪了总统。",12,109121,17,"感觉","adj",NA,NA
"12363",4532,"Experiment Group",NA,21,"","","long",0.83,"省长想知道药剂师觉得小报记者采访了谁。",2,221022,19,"觉得","arg",NA,NA
"12364",4532,"Experiment Group",NA,16,"","","long",0.82,"大学生想知道记者写下来音乐老师夸赞了谁。",14,216142,20,"写","arg",NA,NA
"12366",4532,"Experiment Group",NA,15,"","","short",0.76,"主持人想知道学者为什么认为政府官员批评了总统候选人。",13,115131,22,"认为","adj",NA,NA
"12367",4532,"Experiment Group",NA,32,"","","short",0.76,"助手想知道谁认为老师出卖了水手。",13,232131,23,"认为","arg",NA,NA
"12370",4532,"Experiment Group",NA,26,"","","long",0.8,"制片人想知道健身教练说化妆师为什么监视了调酒师。",1,126012,26,"说","adj",NA,NA
"12371",4532,"Experiment Group",NA,28,"","","long",0.92,"丞相想知道皇上希望将军为什么威胁了大臣。",3,128032,27,"希望","adj",NA,NA
"12373",4532,"Experiment Group",NA,4,"","","short",0.82,"教授想知道工程师为什么希望秘书批评了运动员。",3,104031,29,"希望","adj",NA,NA
"12377",4532,"Experiment Group",NA,22,"","","long",0.27,"顾问想知道外交官怕生物学家嘲讽了谁。",6,222062,33,"怕","arg",NA,NA
"12378",4532,"Experiment Group",NA,14,"","","short",0.88,"英语老师想知道谁感觉中学生举报了店员。",12,214121,34,"感觉","arg",NA,NA
"12380",4532,"Experiment Group",NA,2,"","","short",0.9,"法官想知道律师为什么觉得警察审问了学生。",2,102021,36,"觉得","adj",NA,NA
"12382",4532,"Experiment Group",NA,11,"","","long",0.9,"政客想知道医生认为护士推倒了谁。",13,211132,38,"认为","arg",NA,NA
"12383",4532,"Experiment Group",NA,20,"","","short",0.07,"售货员想知道谁希望摄影师指责了心理医生。",3,220031,39,"希望","arg",NA,NA
"12385",4532,"Experiment Group",NA,8,"","","long",0.1,"侦探想知道售货员认为飞行员为什么羞辱了卡车司机。",13,108132,41,"认为","adj",NA,NA
"12386",4532,"Experiment Group",NA,31,"","","long",0.06,"心理学家想知道大学生说明保姆讨好了谁。",4,231042,42,"说明","arg",NA,NA
"12388",4532,"Experiment Group",NA,5,"","","long",0.21,"市长想知道议员感觉艺术家联系了谁。",12,205122,44,"感觉","arg",NA,NA
"12391",4532,"Experiment Group",NA,19,"","","long",0.17,"经理想知道道士希望和尚夸奖了谁。",3,219032,47,"希望","arg",NA,NA
"12392",4532,"Experiment Group",NA,1,"","","short",0.87,"老师想知道谁说明修理工打了快递员。",4,201041,48,"说明","arg",NA,NA
"12395",4532,"Experiment Group",NA,24,"","","long",0.11,"仓库管理员想知道采购员感觉保险代理人为什么挖苦了模特。",12,124122,51,"感觉","adj",NA,NA
"12396",4532,"Experiment Group",NA,12,"","","short",0.86,"包工头想知道谁说播音员打伤了算命先生。",1,212011,52,"说","arg",NA,NA
"12398",4532,"Experiment Group",NA,3,"","","short",0.12,"经理想知道谁怕服务员接待了乞丐。",6,203061,54,"怕","arg",NA,NA
"12401",4532,"Experiment Group",NA,29,"","","long",0.12,"编辑想知道法务顾问觉得杂技演员为什么抚养了小女孩。",2,129022,57,"觉得","adj",NA,NA
"12402",4532,"Experiment Group",NA,25,"","","short",0.03,"美容师想知道谁写下来营养师吓唬了快餐店员。",14,225141,58,"写","arg",NA,NA
"12406",4532,"Experiment Group",NA,27,"","","short",0.33,"法医想知道业务员为什么写下来罪犯谋害了程序员。",14,127141,62,"写","adj",NA,NA
"12408",4532,"Experiment Group",NA,10,"","","long",0.91,"导游想知道外国人说保安袭击了谁。",1,210012,64,"说","arg",NA,NA
"12412",4453,"Experiment Group",NA,14,"","","long",0.97,"英语老师想知道工程师猜中学生举报了谁。",9,214092,2,"猜","arg",NA,NA
"12413",4453,"Experiment Group",NA,15,"","","short",0.96,"主持人想知道学者为什么怕政府官员批评了总统候选人。",6,115061,3,"怕","adj",NA,NA
"12415",4453,"Experiment Group",NA,16,"","","short",0.94,"大学生想知道谁说音乐老师夸赞了歌手。",1,216011,5,"说","arg",NA,NA
"12416",4453,"Experiment Group",NA,22,"","","long",0.97,"顾问想知道外交官希望生物学家嘲讽了谁。",3,222032,6,"希望","arg",NA,NA
"12418",4453,"Experiment Group",NA,30,"","","long",0.91,"舞蹈老师想知道实习生怕歌手赞美了谁。",6,230062,8,"怕","arg",NA,NA
"12421",4453,"Experiment Group",NA,10,"","","short",0.99,"导游想知道谁感觉保安袭击了商贩。",12,210121,11,"感觉","arg",NA,NA
"12428",4453,"Experiment Group",NA,7,"","","long",0.07,"村长想知道农民感觉电工无视了谁。",12,207122,18,"感觉","arg",NA,NA
"12429",4453,"Experiment Group",NA,19,"","","long",0.98,"经理想知道道士说和尚为什么夸奖了乞丐。",1,119012,19,"说","adj",NA,NA
"12432",4453,"Experiment Group",NA,32,"","","short",0.98,"助手想知道军官为什么觉得老师出卖了水手。",2,132021,22,"觉得","adj",NA,NA
"12433",4453,"Experiment Group",NA,9,"","","long",0.98,"将军想知道间谍想士兵为什么跟踪了总统。",5,109052,23,"想","adj",NA,NA
"12436",4453,"Experiment Group",NA,4,"","","short",0.99,"教授想知道谁希望秘书批评了运动员。",3,204031,26,"希望","arg",NA,NA
"12438",4453,"Experiment Group",NA,5,"","","short",0.98,"市长想知道谁怕艺术家联系了毒枭。",6,205061,28,"怕","arg",NA,NA
"12439",4453,"Experiment Group",NA,17,"","","short",0.99,"会计想知道谁猜编辑邀请了神父。",9,217091,29,"猜","arg",NA,NA
"12442",4453,"Experiment Group",NA,6,"","","long",0.98,"检察官想知道教练员希望音乐家为什么开除了保镖。",3,106032,32,"希望","adj",NA,NA
"12443",4453,"Experiment Group",NA,20,"","","short",0.99,"售货员想知道谁假装摄影师指责了心理医生。",10,220101,33,"假装","arg",NA,NA
"12445",4453,"Experiment Group",NA,28,"","","long",0.08,"丞相想知道皇上说将军威胁了谁。",1,228012,35,"说","arg",NA,NA
"12447",4453,"Experiment Group",NA,31,"","","long",0.11,"心理学家想知道大学生假装保姆为什么讨好了理发师。",10,131102,37,"假装","adj",NA,NA
"12448",4453,"Experiment Group",NA,1,"","","long",0.06,"老师想知道学生觉得修理工打了谁。",2,201022,38,"觉得","arg",NA,NA
"12450",4453,"Experiment Group",NA,29,"","","long",0.97,"编辑想知道法务顾问怕杂技演员为什么抚养了小女孩。",6,129062,40,"怕","adj",NA,NA
"12451",4453,"Experiment Group",NA,11,"","","short",0.97,"政客想知道谁觉得护士推倒了男孩。",2,211021,41,"觉得","arg",NA,NA
"12453",4453,"Experiment Group",NA,25,"","","short",0.98,"美容师想知道房东为什么希望营养师吓唬了快餐店员。",3,125031,43,"希望","adj",NA,NA
"12455",4453,"Experiment Group",NA,26,"","","short",0.94,"制片人想知道健身教练为什么感觉化妆师监视了调酒师。",12,126121,45,"感觉","adj",NA,NA
"12457",4453,"Experiment Group",NA,8,"","","long",0.07,"侦探想知道售货员猜飞行员为什么羞辱了卡车司机。",9,108092,47,"猜","adj",NA,NA
"12460",4453,"Experiment Group",NA,18,"","","long",0.98,"船长想知道建筑师感觉飞行员为什么责备了经济学家。",12,118122,50,"感觉","adj",NA,NA
"12461",4453,"Experiment Group",NA,2,"","","long",0.96,"法官想知道律师假装警察审问了谁。",10,202102,51,"假装","arg",NA,NA
"12463",4453,"Experiment Group",NA,21,"","","long",0.96,"省长想知道药剂师觉得小报记者为什么采访了税务员。",2,121022,53,"觉得","adj",NA,NA
"12467",4453,"Experiment Group",NA,12,"","","short",0.98,"包工头想知道和尚为什么假装播音员打伤了算命先生。",10,112101,57,"假装","adj",NA,NA
"12468",4453,"Experiment Group",NA,27,"","","short",0.99,"法医想知道业务员为什么想罪犯谋害了程序员。",5,127051,58,"想","adj",NA,NA
"12470",4453,"Experiment Group",NA,24,"","","long",0.95,"仓库管理员想知道采购员想保险代理人挖苦了谁。",5,224052,60,"想","arg",NA,NA
"12471",4453,"Experiment Group",NA,13,"","","short",0.93,"服务员想知道售票员为什么说演说家欺骗了建筑工人。",1,113011,61,"说","adj",NA,NA
"12473",4453,"Experiment Group",NA,3,"","","short",0.97,"经理想知道厨师为什么猜服务员接待了乞丐。",9,103091,63,"猜","adj",NA,NA
"12474",4453,"Experiment Group",NA,23,"","","short",0.92,"园丁想知道谁想焊工训斥了清洁工。",5,223051,64,"想","arg",NA,NA
"12477",4456,"Experiment Group",NA,4,"","","long",0.97,"教授想知道工程师猜秘书批评了谁。",9,204092,1,"猜","arg",NA,NA
"12478",4456,"Experiment Group",NA,2,"","","long",0.94,"法官想知道律师觉得警察审问了谁。",2,202022,2,"觉得","arg",NA,NA
"12480",4456,"Experiment Group",NA,19,"","","short",0.98,"经理想知道谁说明和尚夸奖了乞丐。",4,219041,4,"说明","arg",NA,NA
"12481",4456,"Experiment Group",NA,3,"","","short",0.01,"经理想知道谁猜服务员接待了乞丐。",9,203091,5,"猜","arg",NA,NA
"12483",4456,"Experiment Group",NA,22,"","","short",0.95,"顾问想知道外交官为什么说明生物学家嘲讽了哲学家。",4,122041,7,"说明","adj",NA,NA
"12484",4456,"Experiment Group",NA,18,"","","short",0.95,"船长想知道建筑师为什么怕飞行员责备了经济学家。",6,118061,8,"怕","adj",NA,NA
"12487",4456,"Experiment Group",NA,5,"","","short",0.03,"市长想知道议员为什么猜艺术家联系了毒枭。",9,105091,11,"猜","adj",NA,NA
"12488",4456,"Experiment Group",NA,14,"","","short",0.03,"英语老师想知道工程师为什么假装中学生举报了店员。",10,114101,12,"假装","adj",NA,NA
"12493",4456,"Experiment Group",NA,7,"","","short",0.06,"村长想知道谁希望电工无视了领导。",3,207031,17,"希望","arg",NA,NA
"12494",4456,"Experiment Group",NA,32,"","","long",0.01,"助手想知道军官希望老师为什么出卖了水手。",3,132032,18,"希望","adj",NA,NA
"12499",4456,"Experiment Group",NA,29,"","","long",0.97,"编辑想知道法务顾问说明杂技演员为什么抚养了小女孩。",4,129042,23,"说明","adj",NA,NA
"12500",4456,"Experiment Group",NA,9,"","","long",0.99,"将军想知道间谍说明士兵跟踪了谁。",4,209042,24,"说明","arg",NA,NA
"12502",4456,"Experiment Group",NA,11,"","","long",0,"政客想知道医生希望护士推倒了谁。",3,211032,26,"希望","arg",NA,NA
"12504",4456,"Experiment Group",NA,1,"","","long",0.96,"老师想知道学生怕修理工为什么打了快递员。",6,101062,28,"怕","adj",NA,NA
"12505",4456,"Experiment Group",NA,16,"","","short",0.96,"大学生想知道记者为什么觉得音乐老师夸赞了歌手。",2,116021,29,"觉得","adj",NA,NA
"12507",4456,"Experiment Group",NA,12,"","","long",0.94,"包工头想知道和尚怕播音员打伤了谁。",6,212062,31,"怕","arg",NA,NA
"12508",4456,"Experiment Group",NA,24,"","","short",0.97,"仓库管理员想知道谁认为保险代理人挖苦了模特。",13,224131,32,"认为","arg",NA,NA
"12511",4456,"Experiment Group",NA,20,"","","long",0.96,"售货员想知道作曲家想摄影师为什么指责了心理医生。",5,120052,35,"想","adj",NA,NA
"12514",4456,"Experiment Group",NA,6,"","","long",0.01,"检察官想知道教练员认为音乐家开除了谁。",13,206132,38,"认为","arg",NA,NA
"12517",4456,"Experiment Group",NA,31,"","","long",0.94,"心理学家想知道大学生想保姆讨好了谁。",5,231052,41,"想","arg",NA,NA
"12518",4456,"Experiment Group",NA,13,"","","short",0.95,"服务员想知道谁怕演说家欺骗了建筑工人。",6,213061,42,"怕","arg",NA,NA
"12520",4456,"Experiment Group",NA,17,"","","long",0.94,"会计想知道演员认为编辑为什么邀请了神父。",13,117132,44,"认为","adj",NA,NA
"12522",4456,"Experiment Group",NA,23,"","","short",0,"园丁想知道谁假装焊工训斥了清洁工。",10,223101,46,"假装","arg",NA,NA
"12523",4456,"Experiment Group",NA,30,"","","long",0.01,"舞蹈老师想知道实习生假装歌手赞美了谁。",10,230102,47,"假装","arg",NA,NA
"12525",4456,"Experiment Group",NA,26,"","","short",0,"制片人想知道健身教练为什么想化妆师监视了调酒师。",5,126051,49,"想","adj",NA,NA
"12527",4456,"Experiment Group",NA,25,"","","long",0,"美容师想知道房东假装营养师为什么吓唬了快餐店员。",10,125102,51,"假装","adj",NA,NA
"12529",4456,"Experiment Group",NA,21,"","","short",0.97,"省长想知道药剂师为什么认为小报记者采访了税务员。",13,121131,53,"认为","adj",NA,NA
"12531",4456,"Experiment Group",NA,28,"","","long",0.93,"丞相想知道皇上觉得将军为什么威胁了大臣。",2,128022,55,"觉得","adj",NA,NA
"12532",4456,"Experiment Group",NA,8,"","","short",0.98,"侦探想知道谁想飞行员羞辱了卡车司机。",5,208051,56,"想","arg",NA,NA
"12534",4456,"Experiment Group",NA,10,"","","long",0.96,"导游想知道外国人猜保安为什么袭击了商贩。",9,110092,58,"猜","adj",NA,NA
"12535",4456,"Experiment Group",NA,27,"","","short",0.97,"法医想知道业务员为什么希望罪犯谋害了程序员。",3,127031,59,"希望","adj",NA,NA
"12539",4456,"Experiment Group",NA,15,"","","short",0.97,"主持人想知道谁觉得政府官员批评了总统候选人。",2,215021,63,"觉得","arg",NA,NA
"12609",4632,"Experiment Group",NA,21,"","","short",0.82,"省长想知道药剂师为什么怕小报记者采访了税务员。",6,121061,1,"怕","adj",NA,NA
"12611",4632,"Experiment Group",NA,11,"","","long",0.85,"政客想知道医生认为护士为什么推倒了男孩。",13,111132,3,"认为","adj",NA,NA
"12612",4632,"Experiment Group",NA,20,"","","short",0.5,"售货员想知道作曲家为什么希望摄影师指责了心理医生。",3,120031,4,"希望","adj",NA,NA
"12615",4632,"Experiment Group",NA,30,"","","short",0.95,"舞蹈老师想知道谁害怕歌手赞美了剧作家。",11,230111,7,"害怕","arg",NA,NA
"12617",4632,"Experiment Group",NA,19,"","","short",0.76,"牧师想知道道士为什么说和尚夸奖了巫婆。",1,119011,9,"说","adj",NA,NA
"12619",4632,"Experiment Group",NA,28,"","","short",0.05,"丞相想知道谁说明将军威胁了大臣。",4,228041,11,"说明","arg",NA,NA
"12620",4632,"Experiment Group",NA,14,"","","short",0.76,"英语老师想知道工程师为什么感觉中学生举报了店员。",12,114121,12,"感觉","adj",NA,NA
"12622",4632,"Experiment Group",NA,6,"","","long",0.23,"检察官想知道教练员说明音乐家开除了谁。",4,206042,14,"说明","arg",NA,NA
"12624",4632,"Experiment Group",NA,9,"","","short",0.12,"将军想知道谁怕士兵跟踪了总统。",6,209061,16,"怕","arg",NA,NA
"12625",4632,"Experiment Group",NA,29,"","","short",0.75,"编辑想知道谁认为杂技演员抚养了小女孩。",13,229131,17,"认为","arg",NA,NA
"12629",4632,"Experiment Group",NA,16,"","","long",0.67,"大学生想知道记者怕音乐老师夸赞了谁。",6,216062,21,"怕","arg",NA,NA
"12631",4632,"Experiment Group",NA,32,"","","short",0.14,"助手想知道谁说老师出卖了水手。",1,232011,23,"说","arg",NA,NA
"12632",4632,"Experiment Group",NA,5,"","","long",0.27,"市长想知道议员说明艺术家为什么联系了毒枭。",4,105042,24,"说明","adj",NA,NA
"12634",4632,"Experiment Group",NA,26,"","","long",0.09,"制片人想知道健身教练希望化妆师为什么监视了调酒师。",3,126032,26,"希望","adj",NA,NA
"12636",4632,"Experiment Group",NA,18,"","","long",0.58,"船长想知道建筑师感觉飞行员责备了谁。",12,218122,28,"感觉","arg",NA,NA
"12639",4632,"Experiment Group",NA,31,"","","short",0.16,"心理学家想知道大学生为什么想保姆讨好了理发师。",5,131051,31,"想","adj",NA,NA
"12641",4632,"Experiment Group",NA,1,"","","long",0.2,"老师想知道学生想修理工为什么打了快递员。",5,101052,33,"想","adj",NA,NA
"12647",4632,"Experiment Group",NA,27,"","","long",0.41,"法医想知道业务员害怕罪犯为什么谋害了程序员。",11,127112,39,"害怕","adj",NA,NA
"12648",4632,"Experiment Group",NA,12,"","","long",0.92,"包工头想知道和尚说播音员为什么打伤了算命先生。",1,112012,40,"说","adj",NA,NA
"12651",4632,"Experiment Group",NA,10,"","","long",0.75,"导游想知道外国人害怕保安袭击了谁。",11,210112,43,"害怕","arg",NA,NA
"12652",4632,"Experiment Group",NA,22,"","","short",0.59,"顾问想知道外交官为什么认为生物学家嘲讽了哲学家。",13,122131,44,"认为","adj",NA,NA
"12654",4632,"Experiment Group",NA,2,"","","long",0.45,"法官想知道律师怕警察为什么审问了学生。",6,102062,46,"怕","adj",NA,NA
"12656",4632,"Experiment Group",NA,15,"","","short",0.67,"主持人想知道谁感觉政府官员批评了总统候选人。",12,215121,48,"感觉","arg",NA,NA
"12657",4632,"Experiment Group",NA,24,"","","short",0.49,"仓库管理员想知道谁希望保险代理人挖苦了模特。",3,224031,49,"希望","arg",NA,NA
"12659",4632,"Experiment Group",NA,23,"","","long",0.75,"园丁想知道水管工想焊工训斥了谁。",5,223052,51,"想","arg",NA,NA
"12660",4632,"Experiment Group",NA,8,"","","short",0.76,"侦探想知道售货员为什么害怕飞行员羞辱了卡车司机。",11,108111,52,"害怕","adj",NA,NA
"12662",4632,"Experiment Group",NA,17,"","","short",0.81,"会计想知道谁想编辑邀请了神父。",5,217051,54,"想","arg",NA,NA
"12664",4632,"Experiment Group",NA,4,"","","short",0.8,"教授想知道工程师为什么说明秘书批评了运动员。",4,104041,56,"说明","adj",NA,NA
"12666",4632,"Experiment Group",NA,3,"","","long",0.78,"经理想知道厨师希望服务员接待了谁。",3,203032,58,"希望","arg",NA,NA
"12667",4632,"Experiment Group",NA,25,"","","long",0.44,"美容师想知道房东感觉营养师为什么吓唬了快餐店员。",12,125122,59,"感觉","adj",NA,NA
"12671",4632,"Experiment Group",NA,7,"","","long",0.91,"村长想知道农民认为电工无视了谁。",13,207132,63,"认为","arg",NA,NA
"12672",4632,"Experiment Group",NA,13,"","","long",0.48,"服务员想知道售票员说演说家欺骗了谁。",1,213012,64,"说","arg",NA,NA
"12675",4459,"Experiment Group",NA,3,"","","long",0.56,"经理想知道厨师记得服务员为什么接待了乞丐。",8,103082,1,"记得","adj",NA,NA
"12678",4459,"Experiment Group",NA,6,"","","short",0.73,"检察官想知道教练员为什么感觉音乐家开除了保镖。",12,106121,4,"感觉","adj",NA,NA
"12680",4459,"Experiment Group",NA,1,"","","long",0.72,"老师想知道学生记得修理工打了谁。",8,201082,6,"记得","arg",NA,NA
"12684",4459,"Experiment Group",NA,4,"","","long",0.48,"教授想知道工程师猜秘书为什么批评了运动员。",9,104092,10,"猜","adj",NA,NA
"12685",4459,"Experiment Group",NA,32,"","","short",0.78,"助手想知道军官为什么记得老师出卖了水手。",8,132081,11,"记得","adj",NA,NA
"12688",4459,"Experiment Group",NA,9,"","","short",0.25,"将军想知道谁猜士兵跟踪了总统。",9,209091,14,"猜","arg",NA,NA
"12689",4459,"Experiment Group",NA,10,"","","short",0.17,"导游想知道外国人为什么认为保安袭击了商贩。",13,110131,15,"认为","adj",NA,NA
